ID,Sammlungs-ID,Marke,Name,Abfüllserie,Status,"Deklariertes Alter",Größe,Stärke,Einheit,Fasstyp,Liste,Bewertung,"Meine Bewertung","Bezahlter Preis",Währung,"Mittlerer preis","Währung Whisky",Destillerien,Jahrgang,"Hinzugefügt am",Bild,Auktionspreis:,"Währung Whisky",Notizen,Kaufort
67244,5053143,Glendronach,21-year-old,Parliament,open,21,700,48.00,%vol,"Oloroso and Pedro Ximénez Sherry",,89.71,,,,256.53,EUR,Glendronach,,"2020-12-19 18:18:12",https://static.whiskybase.com/storage/whiskies/6/7/244/362969-normal.png,200.44,EUR,,
146557,5053170,Kavalan,Selection,"Sherry Cask",open,,700,58.60,%vol,"1st Fill Puncheon",,88.88,,,,299.9,EUR,Kavalan,17.12.2008,"2020-12-19 18:22:31",https://static.whiskybase.com/storage/whiskies/1/4/6557/248413-normal.png,224.95,EUR,,
171899,5053544,Glendronach,"Traditionally Peated",,open,,700,48.00,%vol,"Pedro Ximénez, Oloroso Sherry & Port Casks",,82.73,,,,54.9,EUR,Glendronach,,"2020-12-19 20:07:39",https://static.whiskybase.com/storage/whiskies/1/7/1899/293793-normal.png,48.75,EUR,,
117422,5053558,"Ailsa Bay","Release 1.2 Sweet Smoke","Micro Maturation",empty,,700,48.90,%vol,"Hudson Whiskey Casks",,84.45,,,,73.9,EUR,"Ailsa Bay",,"2020-12-19 20:11:34",https://static.whiskybase.com/storage/whiskies/1/1/7422/226974-normal.png,63.19,EUR,,
80202,5053575,Clynelish,14-year-old,"Coastal Highland Scotch Whisky",open,14,750,46.00,%vol,,,85.71,,,,72.99,EUR,Clynelish,,"2020-12-19 20:17:11",https://static.whiskybase.com/storage/whiskies/8/0/202/125076-normal.png,97.17,EUR,,
113099,5053579,Laphroaig,Cairdeas,"Feis Ile 2018",open,,700,51.80,%vol,"1st Fill ex-Bourbon & Fino Sherry Casks",,86.17,,,,219.64,EUR,Laphroaig,,"2020-12-19 20:19:10",https://static.whiskybase.com/storage/whiskies/1/1/3099/398719-normal.png,115.27,EUR,,
41501,5053588,Glengoyne,21-year-old,,open,21,700,43.00,%vol,Sherry,,88.09,,,,219.9,EUR,Glengoyne,,"2020-12-19 20:21:46",https://static.whiskybase.com/storage/whiskies/4/1/501/78074-normal.png,160.79,EUR,,
130138,5053609,Laphroaig,"Triple Wood",,open,,700,48.00,%vol,"Bourbon + Quarter + Europ. Oak Oloroso Sherry",,86.07,,,,162.43,EUR,Laphroaig,,"2020-12-19 20:32:34",https://static.whiskybase.com/storage/whiskies/1/3/0138/218569-normal.png,79.74,EUR,,
101376,5053625,Ledaig,10-year-old,,open,10,750,46.30,%vol,,,84.91,,,,47.01,EUR,Tobermory,,"2020-12-19 20:39:00",https://static.whiskybase.com/storage/whiskies/1/0/1376/177776-normal.png,,,,
89645,5053627,Laphroaig,Brodir,"Travel Retail Exclusive",closed,,700,48.00,%vol,"Ex-Bourbon Barrels + Ruby Port Casks Finish",,85.59,,,,268.26,EUR,Laphroaig,,"2020-12-19 20:41:01",https://static.whiskybase.com/storage/whiskies/8/9/645/170104-normal.png,125.66,EUR,,
168502,5053639,Scarabus,"Islay Single Malt Scotch Whisky HL",,open,,700,46.00,%vol,,,83.09,,,,37.9,EUR,,,"2020-12-19 20:46:36",https://static.whiskybase.com/storage/whiskies/1/6/8502/287500-normal.png,34.85,EUR,,
155774,5053646,Oban,14-year-old,"Little Bay of Caves",closed,14,200,43.00,%vol,,,80.31,,,,239.9,NOK,Oban,,"2020-12-19 20:49:26",https://static.whiskybase.com/storage/whiskies/1/5/5774/263384-normal.png,35.53,EUR,,
68682,5053654,Talisker,10-year-old,"Made by the Sea",closed,10,200,45.80,%vol,,,84.65,,,,19.2,EUR,Talisker,,"2020-12-19 20:53:31",https://static.whiskybase.com/storage/whiskies/6/8/682/231742-normal.png,25.72,EUR,,
